num,cruise,name,time,pulse,lat,lon,cog,sog,wspd,wdir,bswh,bper,bdir,mdts,mdww,mpts,mpww,shts,u10,v10
0,asv50,ASV50/nc/0105_2763.nc,1597145099.204,SP,59.5003441212325,-10.0054783470036,195.82421875,0.0655289713541667,4.27142810821533,215.714279174805,1.20554258623484,8.53333333333333,246,232.231542603494,9.62486651358319,7.64119833968897,3.86276516127772,1.13102640931161,-2.17695553168517,-0.22699922472048
1,asv50,ASV50/nc/0105_2763_MP.nc,1597144981.63,MP,59.5003007940178,-10.0051133127406,235.85546875,0.0828157552083334,4.58999967575073,230.600006103516,1.20554258623484,8.53333333333333,246,232.232740974256,9.60367630318104,7.64118079723637,3.86276342403654,1.13101956004547,-2.17716688683426,-0.227701146883891
2,asv50,ASV50/nc/0105_2771.nc,1597250705.588,SP,59.4998544961697,-15.3295097071454,207.9140625,0.258497721354167,3.93888854980469,157,0.750503439405662,7.87692307692308,256,240.842622034918,355.056245304105,8.06311124483393,1.72104423541577,1.13289674382035,0.209301960542013,-3.63477533954168
3,asv50,ASV50/nc/0105_2777.nc,1597342072.66,SP,59.4991821430316,-19.3317100071788,141.33984375,0.764437662760417,0,134.75,2.58997711667639,8.53333333333333,285,258.767407185552,225.820224360275,7.38427335250332,4.65298079919652,1.12434664068421,6.51905040304824,6.71870048163375
4,asv50,ASV50/nc/0105_2782.nc,1597430246.915,SP,59.4997339679779,-22.6636166546759,94.8125,0.8864501953125,4.41111135482788,113.444442749023,1.67626026215971,8.53333333333333,248,254.374879671533,238.254168825491,7.41128758519128,4.21001711997701,1.48441354636815,7.03575611024806,4.39242957558719
5,asv50,ASV50/nc/0105_2787.nc,1597515317.978,SP,59.5004287439226,-25.994388732319,41.09765625,0.826549479166667,11.6624994277954,101.75,2.2040850533782,9.30909090909091,259,245.379143306359,181.062713794981,7.60854979940961,4.44804471598159,1.57220516129778,-0.417787203748056,9.18614543070057
6,asv50,ASV50/nc/0105_2792.nc,1597589105.175,SP,59.5003954588502,-29.3321061788656,94.70703125,0.345333658854167,2.6777777671814,204.33332824707,1.75441154445977,7.87692307692308,225,221.322381720404,125.616431751871,7.39826452473882,2.87709870499923,1.71793096435312,-4.65805496624107,3.43450482214021
7,asv50,ASV50/nc/0105_2797.nc,1597659000.899,SP,59.4995160981163,-32.6681395174246,207.04296875,0.334479166666667,4.22499990463257,76.875,1.34880994486274,9.30909090909091,331,332.060244358256,35.6051030246345,7.37281838674911,3.86363412763806,1.39445651397666,-0.123646320513997,-1.12358842980418
8,asv50,ASV50/nc/0105_2803.nc,1597752613.668,SP,59.4995257385388,-36.6678596696513,256.96484375,0.647249348958333,11.2909088134766,84.636360168457,1.60643176575183,7.31428571428571,15,29.8491835957981,29.5595550243257,7.06933513136559,3.9792231925116,1.15316579839154,-4.27619902014062,-7.36801271192304
9,asv50,ASV50/nc/0105_2809.nc,1597843378.97,SP,59.4995482619995,-40.3346990919117,260.0234375,0.7634326171875,10.2700004577637,80.8000030517578,1.45837533253775,6.82666666666667,55,84.7431760071927,27.9222063152846,7.29493252711718,4.60618522725163,0.272429720919466,-3.97547277127264,-8.97361934383185
