name,pulse,quality,swh,t_p,t_m,d_p,d_m,wswh,wt_p,wt_m,wd_p,sw1_swh,sw1_t_p,sw1_d_p,sw2_swh,sw2_t_p,sw2_d_p,ide_sys,curr_speed,curr_dir,curr_x,curr_y,wspd_proc,u_x,u_y,wind_sig,wind_dir,sog_proc,cog_proc,hdg_proc
2022-11-02_12-59-52,1,0,1.2785,14.8683,10.2385,330.0000,294.6315,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,3.6413,335.4434,-1.5133,3.3120,6.7989,-0.4493,0.2746,15.6145,147.2599,4.0884,151.3129,150.7711
2022-11-02_16-58-10,1,1,1.3011,14.5143,10.1904,210.0000,270.0293,0.0000,0.0000,0.0000,0.0000,1.3011,8.9647,210.0000,0.0000,0.0000,0.0000,1,4.0006,335.5599,-1.6552,3.6421,6.8779,-0.3139,0.0697,15.8468,163.8428,4.2018,152.0535,148.8066
2022-11-03_06-58-01,1,1,1.4491,14.8683,10.3878,120.0000,145.2231,0.0000,0.0000,0.0000,0.0000,1.4491,8.7086,120.0000,0.0000,0.0000,0.0000,1,4.3456,194.7032,-1.1030,-4.2033,6.3267,1.3265,-0.4627,14.2255,48.3656,4.6714,357.2574,0.5035
2022-11-03_12-58-51,1,1,1.3786,10.3322,9.2585,120.0000,114.3314,1.3786,6.6261,7.1274,120.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.5201,32.3165,2.4164,3.8200,6.0195,-0.5797,0.2851,13.3221,147.7295,4.4973,204.1051,198.8770
2022-11-04_12-57-11,1,1,1.7330,13.5467,9.3453,160.0000,163.5563,1.7330,7.0069,7.1623,160.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,3.3537,60.4356,2.9171,1.6547,6.1221,-0.3536,-0.7643,13.6238,125.2423,2.7138,250.8455,245.2774
2022-11-04_16-58-26,1,1,1.5582,16.4757,10.6619,150.0000,173.7853,1.5582,7.4341,7.2227,150.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,5.2609,228.4411,-3.9366,-3.4900,5.6893,0.5553,0.5860,12.3508,160.2539,4.4572,49.3425,51.1004
2022-11-05_06-55-33,1,1,1.3828,11.9529,10.3383,210.0000,227.3222,0.0000,0.0000,0.0000,0.0000,1.3828,11.5019,210.0000,0.0000,0.0000,0.0000,1,3.5705,354.1322,-0.3650,3.5518,6.5012,-0.4776,0.3129,14.7388,139.3067,3.9555,167.7004,162.5560
2022-11-05_12-58-56,1,1,1.4991,13.8545,10.9970,210.0000,200.6698,1.4991,13.5467,9.6920,210.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,3.7448,115.2057,3.3882,-1.5948,7.2491,1.0105,-0.5632,16.9386,185.2324,4.8996,296.1317,296.8914
2022-11-05_16-59-57,1,1,1.4076,10.5103,10.6412,210.0000,245.2080,0.0000,0.0000,0.0000,0.0000,1.4076,10.5103,200.0000,0.0000,0.0000,0.0000,1,3.8658,346.9610,-0.8722,3.7661,7.5232,-0.3367,0.1600,17.7448,107.3363,4.1080,162.8864,158.7098
2022-11-06_06-58-49,1,1,1.5600,12.1920,10.8083,210.0000,215.2526,1.5600,11.7231,9.1190,210.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,3.4154,125.6140,2.7766,-1.9889,7.1229,1.2946,-0.6823,16.5674,198.2664,4.8693,303.2696,305.0484
