name,pulse,quality,swh,t_p,t_m,d_p,d_m,wswh,wt_p,wt_m,wd_p,sw1_swh,sw1_t_p,sw1_d_p,sw2_swh,sw2_t_p,sw2_d_p,ide_sys,curr_speed,curr_dir,curr_x,curr_y,wspd_proc,u_x,u_y,wind_sig,wind_dir,sog_proc,cog_proc,hdg_proc
2022-12-05_13-59-25,1,0,1.0758,9.0985,8.8373,190.0000,216.0984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,5.0005,87.7131,4.9965,0.1995,6.8300,0.0145,-0.0093,15.7059,78.0462,4.9863,87.6000,88.8000
2022-12-05_09-51-41,1,0,1.0639,10.5103,8.9906,350.0000,298.1275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.7099,88.5129,4.7083,0.1222,6.8804,0.0020,-0.0175,15.8541,117.1533,4.7084,88.3000,85.6000
2022-12-05_05-58-33,1,1,1.1105,10.3322,8.8907,190.0000,209.0662,1.1105,7.5259,7.0886,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,5.3558,89.5756,5.3557,0.0397,5.3797,0.0503,0.0489,11.4404,177.1131,5.3054,90.1000,90.6000
2022-12-04_13-55-25,1,1,1.4004,7.9169,8.1364,190.0000,188.7724,0.0000,0.0000,0.0000,0.0000,1.4004,7.7165,180.0000,0.0000,0.0000,0.0000,1,5.2011,88.3584,5.1989,0.1490,7.1263,-0.0704,0.1674,16.5775,307.3321,5.2693,90.2000,90.0000
2022-12-04_09-56-49,1,1,1.4851,8.2378,8.2904,180.0000,182.5815,0.0000,0.0000,0.0000,0.0000,1.4851,8.1280,180.0000,0.0000,0.0000,0.0000,1,4.8224,92.0468,4.8193,-0.1722,7.3991,-0.1760,0.1683,17.3798,263.9681,5.0069,93.9000,89.3000
2022-12-04_06-55-01,1,1,1.4815,8.1280,8.2823,180.0000,179.4538,0.0000,0.0000,0.0000,0.0000,1.4815,8.1280,180.0000,0.0000,0.0000,0.0000,1,4.3190,84.7201,4.3007,0.3974,8.1869,-0.2622,0.1503,19.6968,272.1050,4.5695,86.9000,91.3000
2022-12-03_15-27-52,1,1,1.0274,7.6200,8.3727,210.0000,204.6275,1.0274,7.6200,7.2536,190.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,4.1396,138.5384,2.7409,-3.1022,8.7454,-0.1064,0.0050,21.3394,152.2164,4.2144,137.5000,138.8000
2022-12-03_10-55-52,1,1,1.0811,8.2378,8.3460,190.0000,209.7305,1.0811,7.6200,7.4531,190.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,3.3933,132.6196,2.4970,-2.2977,8.9402,-0.1361,-0.0088,21.9124,201.1610,3.4889,131.0000,134.6000
2022-12-02_10-52-20,1,0,1.0806,12.4408,9.2623,0.0000,307.2099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,5.5584,91.6412,5.5561,-0.1592,6.4458,0.0057,-0.0139,14.5759,152.9170,5.5524,91.5000,94.0000
2022-12-03_06-55-33,1,1,0.9740,9.0985,8.2567,330.0000,308.9626,0.0000,0.0000,0.0000,0.0000,0.9740,5.7509,330.0000,0.0000,0.0000,0.0000,1,4.1827,127.7925,3.3053,-2.5632,8.5857,0.0356,-0.0451,20.8698,105.9617,4.1270,127.6000,132.5000
2022-12-02_15-58-03,1,1,1.0558,5.9765,8.2953,350.0000,345.9266,0.0000,0.0000,0.0000,0.0000,1.0558,6.0356,350.0000,0.0000,0.0000,0.0000,1,4.7886,156.1117,1.9392,-4.3784,7.6584,0.0722,-0.0223,18.1423,183.7534,4.7393,156.8000,160.8000
2022-12-02_06-57-26,1,0,1.1230,12.4408,9.1592,350.0000,304.2901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,5.2014,90.1016,5.2014,-0.0092,5.6528,-0.0371,-0.0001,12.2436,148.2576,5.2385,90.1000,90.5000
2022-12-01_09-55-16,1,0,1.0873,9.0985,8.8915,350.0000,229.9203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.8763,68.5620,4.5389,1.7822,5.8527,-0.0047,-0.0075,12.8316,53.7778,4.8834,68.5000,71.8000
2022-12-01_07-11-05,1,0,1.1004,7.7165,8.6674,350.0000,254.3833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.6320,68.3474,4.3052,1.7091,6.1155,0.0298,-0.0443,13.6044,113.9237,4.6210,67.7000,69.8000
2022-12-01_14-54-28,1,0,1.1520,12.4408,8.8448,0.0000,347.0288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,5.1630,91.4518,5.1613,-0.1308,4.2981,0.0587,0.0117,8.2593,40.2594,5.1047,91.6000,88.6000
